ID_,ACCOUNT_,MAPPING_RULESET_,NUMBER_
1599d554-ba77-11e4-8dfc-aa07a5b093db,af4e72c2-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0740
47f5b586-ba77-11e4-8dfc-aa07a5b093db,af4e75ec-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0750
47f5b7de-ba77-11e4-8dfc-aa07a5b093db,af4e7a10-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0755
47f5b932-ba77-11e4-8dfc-aa07a5b093db,af4e7cf4-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0765
47f5ba68-ba77-11e4-8dfc-aa07a5b093db,af4e808c-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0770
47f5c6a2-ba77-11e4-8dfc-aa07a5b093db,af4e8424-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0780
47f5bb9e-ba77-11e4-8dfc-aa07a5b093db,af4e86ea-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0785
47f5bee6-ba77-11e4-8dfc-aa07a5b093db,af4e8b72-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0795
47f5c094-ba77-11e4-8dfc-aa07a5b093db,af4e8e38-ba6d-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0800
47f5c2e2-ba77-11e4-8dfc-aa07a5b093db,1c0f22ee-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0803
47f5c544-ba77-11e4-8dfc-aa07a5b093db,1c0f2640-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0804
6f808ed2-ba77-11e4-8dfc-aa07a5b093db,1c0f27ee-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0805
6f809120-ba77-11e4-8dfc-aa07a5b093db,1c0f29c4-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0808
6f80926a-ba77-11e4-8dfc-aa07a5b093db,1c0f2b90-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0809
6f809c74-ba77-11e4-8dfc-aa07a5b093db,1c0f2da2-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0810
6f8093a0-ba77-11e4-8dfc-aa07a5b093db,1c0fa200-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0813
6f809b48-ba77-11e4-8dfc-aa07a5b093db,1c0fa444-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0814
6f80985a-ba77-11e4-8dfc-aa07a5b093db,1c0fa5a2-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0815
6f80972e-ba77-11e4-8dfc-aa07a5b093db,1c0fa7f0-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0820
6f80960c-ba77-11e4-8dfc-aa07a5b093db,8fa9a198-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0829
6f8094e0-ba77-11e4-8dfc-aa07a5b093db,8fa9a3e6-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0830
95025334-ba77-11e4-8dfc-aa07a5b093db,8fa9a53a-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0840
95025582-ba77-11e4-8dfc-aa07a5b093db,8fa9a8be-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0850
950256e0-ba77-11e4-8dfc-aa07a5b093db,8fa9aa1c-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0860
95025a1e-ba77-11e4-8dfc-aa07a5b093db,8fa9ab48-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0880
9502636a-ba77-11e4-8dfc-aa07a5b093db,8fa9ac6a-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0883
9502604a-ba77-11e4-8dfc-aa07a5b093db,8fa9ad8c-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0885
95025f1e-ba77-11e4-8dfc-aa07a5b093db,8fa9aeb8-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0900
95025dc0-ba77-11e4-8dfc-aa07a5b093db,8fa9b174-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0910
95025c94-ba77-11e4-8dfc-aa07a5b093db,f009d4cc-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0920
